specimen collector sample ID,lineage name,host (scientific name),breadth of coverage value,sample collection date,geo_loc_name (country),gisaid_epi_isl
NS_678546,JN.1.47.1,Homo sapiens,99.3,2023-12-03,Canada,EPI_ISL_18679769
ON_683112,JN.1.19,Homo sapiens,97.8,2023-12-03,Canada,EPI_ISL_18645838
ON_682424,JN.1.1,Homo sapiens,98.0,2023-12-03,Canada,EPI_ISL_18645148
ON_682755,JN.1.2,Homo sapiens,99.6,2023-12-03,Canada,EPI_ISL_18645480
AB_679414,JN.1.1,Homo sapiens,99.3,2023-12-03,Canada,EPI_ISL_18659582
ON_683175,JN.1.1,Homo sapiens,99.6,2023-12-03,Canada,EPI_ISL_18645901
ON_682420,JN.1.1,Homo sapiens,95.5,2023-12-03,Canada,EPI_ISL_18645144
ON_682770,JN.1.39,Homo sapiens,99.6,2023-12-03,Canada,EPI_ISL_18645495
BC_681190,JN.1.2,Homo sapiens,99.0,2023-12-03,Canada,EPI_ISL_18654580
NL_680839,JN.1.4,Homo sapiens,96.5,2023-12-03,Canada,EPI_ISL_18714801
ON_690997,JN.1.4,Homo sapiens,99.6,2023-12-03,Canada,EPI_ISL_18768850
ON_680706,JN.1,Homo sapiens,99.6,2023-12-03,Canada,EPI_ISL_18611075
ON_682388,JN.1,Homo sapiens,98.6,2023-12-03,Canada,EPI_ISL_18645112
AB_679395,JN.1,Homo sapiens,99.3,2023-12-03,Canada,EPI_ISL_18659568
ON_682399,JN.1,Homo sapiens,98.3,2023-12-03,Canada,EPI_ISL_18645123
ON_682785,JN.1.39,Homo sapiens,99.6,2023-12-03,Canada,EPI_ISL_18645510
ON_682829,JN.1,Homo sapiens,98.5,2023-12-04,Canada,EPI_ISL_18645554
ON_683124,JN.1,Homo sapiens,99.3,2023-12-04,Canada,EPI_ISL_18645850
ON_682487,JN.1.4.5,Homo sapiens,94.8,2023-12-04,Canada,EPI_ISL_18645211
ON_682568,JN.1,Homo sapiens,99.0,2023-12-04,Canada,EPI_ISL_18645292
ON_682747,JN.1.4,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645472
ON_682957,JN.1.4,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645682
ON_682729,JN.1.2,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645454
QC_682152,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654200
ON_682799,JN.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645524
ON_682840,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645565
ON_683034,JN.1.4.5,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645759
ON_680699,JN.1.45,Homo sapiens,98.7,2023-12-04,Canada,EPI_ISL_18611068
QC_682218,JN.1.22,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654266
AB_679447,JN.1,Homo sapiens,99.3,2023-12-04,Canada,EPI_ISL_18659613
QC_682187,JN.1.22,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654235
ON_682889,JN.1,Homo sapiens,99.5,2023-12-04,Canada,EPI_ISL_18645614
AB_679457,JN.1.31,Homo sapiens,99.3,2023-12-04,Canada,EPI_ISL_18659622
ON_683067,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645793
QC_682232,JN.1.22,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654281
NS_683552,JN.1.22,Homo sapiens,99.3,2023-12-04,Canada,EPI_ISL_18714481
AB_681620,JN.1.31,Homo sapiens,98.6,2023-12-04,Canada,EPI_ISL_18677592
QC_689568,JN.1.1,Homo sapiens,99.2,2023-12-04,Canada,EPI_ISL_18741915
ON_683108,JN.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645834
QC_682160,JN.1.1,Homo sapiens,99.4,2023-12-04,Canada,EPI_ISL_18654208
ON_682501,JN.1,Homo sapiens,98.8,2023-12-04,Canada,EPI_ISL_18645225
ON_683211,JN.1.1,Homo sapiens,99.0,2023-12-04,Canada,EPI_ISL_18645937
QC_682173,JN.1.22,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654221
AB_681690,JN.1,Homo sapiens,99.3,2023-12-04,Canada,EPI_ISL_18677658
QC_682165,JN.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654213
AB_681582,JN.1.31,Homo sapiens,94.3,2023-12-04,Canada,EPI_ISL_18677557
QC_682176,JN.1.4,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654224
QC_682177,JN.1.2,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654225
ON_682696,JN.1.31,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645420
BC_681302,JN.1,Homo sapiens,99.0,2023-12-04,Canada,EPI_ISL_18654595
QC_682270,JN.1.1,Homo sapiens,99.2,2023-12-04,Canada,EPI_ISL_18654319
QC_682224,JN.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654273
ON_682684,JN.1.1,Homo sapiens,99.5,2023-12-04,Canada,EPI_ISL_18645408
QC_682190,JN.1.22,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654238
ON_682679,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645403
ON_682812,JN.1.2,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645537
QC_682184,JN.1.22,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654232
ON_682920,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645645
ON_682846,JN.1.1,Homo sapiens,98.6,2023-12-04,Canada,EPI_ISL_18645571
ON_682835,JN.1,Homo sapiens,99.2,2023-12-04,Canada,EPI_ISL_18645560
ON_682814,JN.1,Homo sapiens,98.3,2023-12-04,Canada,EPI_ISL_18645539
BC_681208,JN.1,Homo sapiens,99.0,2023-12-04,Canada,EPI_ISL_18654585
ON_682584,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645308
QC_682194,JN.1.1,Homo sapiens,99.5,2023-12-04,Canada,EPI_ISL_18654242
QC_682185,JN.1.22,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654233
QC_682164,JN.1.4,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654212
QC_682161,JN.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654209
AB_681688,JN.1,Homo sapiens,99.3,2023-12-04,Canada,EPI_ISL_18677656
ON_682678,JN.1.52,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645402
ON_682683,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645407
AB_681568,JN.1.31,Homo sapiens,99.3,2023-12-04,Canada,EPI_ISL_18677544
ON_682813,JN.1.2,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645538
ON_682488,JN.1.4.5,Homo sapiens,98.8,2023-12-04,Canada,EPI_ISL_18645212
ON_682316,JN.1.52,Homo sapiens,98.8,2023-12-04,Canada,EPI_ISL_18645039
AB_679459,JN.1,Homo sapiens,99.3,2023-12-04,Canada,EPI_ISL_18659624
QC_682223,JN.1.4,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654272
ON_682485,JN.1.4.5,Homo sapiens,98.6,2023-12-04,Canada,EPI_ISL_18645209
ON_682871,JN.1,Homo sapiens,98.9,2023-12-04,Canada,EPI_ISL_18645596
ON_683065,JN.1.2,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645791
ON_683048,JN.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645773
ON_682838,JN.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645563
ON_682858,JN.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645583
QC_682157,JN.1.31,Homo sapiens,99.5,2023-12-04,Canada,EPI_ISL_18654205
AB_681570,JN.1,Homo sapiens,99.3,2023-12-04,Canada,EPI_ISL_18677546
ON_682674,JN.1.52,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645398
ON_683152,JN.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645878
QC_682156,JN.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654204
ON_682686,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645410
ON_700064,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18882726
QC_682226,JN.1.2,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654275
QC_682188,JN.1.22,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654236
QC_682175,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654223
QC_682166,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654214
ON_682677,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645401
ON_682950,JN.1.4,Homo sapiens,99.5,2023-12-04,Canada,EPI_ISL_18645675
ON_682691,JN.1.52,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645415
ON_682581,JN.1.31,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645305
QC_682227,JN.1.2,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654276
ON_682585,JN.1.1,Homo sapiens,99.1,2023-12-04,Canada,EPI_ISL_18645309
NB_679650,JN.1.1,Homo sapiens,99.3,2023-12-04,Canada,EPI_ISL_18622464
ON_682872,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645597
AB_681574,JN.1.1,Homo sapiens,99.3,2023-12-04,Canada,EPI_ISL_18677550
QC_682206,JN.1.10,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654254
QC_682208,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654256
ON_682869,JN.1,Homo sapiens,96.4,2023-12-04,Canada,EPI_ISL_18645594
ON_682586,JN.1.52,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645310
ON_682756,JN.1.4,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645481
MB_686249,JN.1,Homo sapiens,99.28,2023-12-04,Canada,EPI_ISL_18947040
ON_682590,JN.1.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18645314
QC_682169,JN.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654217
ON_682495,JN.1,Homo sapiens,98.1,2023-12-04,Canada,EPI_ISL_18645219
QC_682153,JN.1,Homo sapiens,99.6,2023-12-04,Canada,EPI_ISL_18654201
ON_683225,JN.1.1,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645951
ON_682593,JN.1.9,Homo sapiens,96.1,2023-12-05,Canada,EPI_ISL_18645317
ON_682887,JN.1,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645612
ON_683277,JN.1,Homo sapiens,99.5,2023-12-05,Canada,EPI_ISL_18646003
ON_683080,JN.1.52,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645806
ON_683367,JN.1.31,Homo sapiens,93.9,2023-12-05,Canada,EPI_ISL_18643312
SK_692612,JN.1.2,Homo sapiens,92.2,2023-12-05,Canada,EPI_ISL_18930063
AB_681682,JN.1.31,Homo sapiens,99.3,2023-12-05,Canada,EPI_ISL_18677652
ON_683143,JN.1.45,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645869
ON_683078,JN.1.4,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645804
AB_681740,JN.1,Homo sapiens,98.8,2023-12-05,Canada,EPI_ISL_18677702
ON_683209,JN.1.1,Homo sapiens,99.5,2023-12-05,Canada,EPI_ISL_18645935
AB_681825,JN.1.8.1,Homo sapiens,99.3,2023-12-05,Canada,EPI_ISL_18677783
ON_683297,JN.1.52,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18646023
ON_682594,JN.1,Homo sapiens,98.5,2023-12-05,Canada,EPI_ISL_18645318
ON_682699,JN.1.1,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645423
ON_682710,JN.1.1,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645434
ON_683145,JN.1,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645871
ON_682516,JN.1.2,Homo sapiens,99.0,2023-12-05,Canada,EPI_ISL_18645240
BC_681367,JN.1,Homo sapiens,99.3,2023-12-05,Canada,EPI_ISL_18654715
BC_681375,JN.1.2,Homo sapiens,99.1,2023-12-05,Canada,EPI_ISL_18654721
ON_683359,JN.1,Homo sapiens,96.2,2023-12-05,Canada,EPI_ISL_18643304
ON_683074,JN.1.1,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645800
ON_682978,JN.1.4,Homo sapiens,99.2,2023-12-05,Canada,EPI_ISL_18645703
ON_683030,JN.1.4.5,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645755
ON_683164,JN.1.22,Homo sapiens,96.9,2023-12-05,Canada,EPI_ISL_18645890
ON_682893,JN.1.4,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645618
ON_683206,JN.1.2,Homo sapiens,99.1,2023-12-05,Canada,EPI_ISL_18645932
ON_683258,JN.1,Homo sapiens,93.5,2023-12-05,Canada,EPI_ISL_18645984
ON_682882,JN.1.4,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645607
ON_683263,JN.1,Homo sapiens,98.0,2023-12-05,Canada,EPI_ISL_18645989
ON_682509,JN.1.1,Homo sapiens,98.9,2023-12-05,Canada,EPI_ISL_18645233
AB_681633,JN.1.31,Homo sapiens,99.3,2023-12-05,Canada,EPI_ISL_18677605
ON_685129,JN.1.1,Homo sapiens,99.5,2023-12-05,Canada,EPI_ISL_18697569
AB_681650,JN.1.1,Homo sapiens,99.3,2023-12-05,Canada,EPI_ISL_18677622
ON_684295,JN.1.39,Homo sapiens,97.6,2023-12-05,Canada,EPI_ISL_18696735
ON_683366,JN.1.52,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18643311
ON_682703,JN.1.4,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645427
BC_683656,JN.1.4.5,Homo sapiens,98.9,2023-12-05,Canada,EPI_ISL_18718650
ON_682600,JN.1,Homo sapiens,98.0,2023-12-05,Canada,EPI_ISL_18645324
ON_684277,JN.1.1,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18696717
ON_683021,JN.1.4.5,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645746
ON_683150,JN.1.1,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645876
ON_683461,JN.1,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18643379
ON_683219,JN.1.46,Homo sapiens,99.0,2023-12-05,Canada,EPI_ISL_18645945
ON_682469,JN.1,Homo sapiens,99.1,2023-12-05,Canada,EPI_ISL_18645193
ON_682698,JN.1,Homo sapiens,99.6,2023-12-05,Canada,EPI_ISL_18645422
AB_681660,JN.1,Homo sapiens,99.3,2023-12-05,Canada,EPI_ISL_18677631
ON_682515,JN.1.31,Homo sapiens,97.7,2023-12-05,Canada,EPI_ISL_18645239
AB_681806,JN.1,Homo sapiens,99.2,2023-12-06,Canada,EPI_ISL_18677765
PE_682049,JN.1.2,Homo sapiens,92.26,2023-12-06,Canada,EPI_ISL_19218821
ON_683247,JN.1,Homo sapiens,99.5,2023-12-06,Canada,EPI_ISL_18645973
ON_683199,JN.1,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18645925
AB_681680,JN.1,Homo sapiens,99.3,2023-12-06,Canada,EPI_ISL_18677650
ON_683139,JN.1.1,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18645865
ON_683087,JN.1.52,Homo sapiens,96.8,2023-12-06,Canada,EPI_ISL_18645813
SK_686286,JN.1.2,Homo sapiens,99.3,2023-12-06,Canada,EPI_ISL_18930109
BC_683665,JN.1.8.1,Homo sapiens,99.1,2023-12-06,Canada,EPI_ISL_18718659
ON_683221,JN.1.2,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18645947
ON_683223,JN.1.2,Homo sapiens,97.4,2023-12-06,Canada,EPI_ISL_18645949
ON_683026,JN.1.4.5,Homo sapiens,96.8,2023-12-06,Canada,EPI_ISL_18645751
ON_682968,JN.1.31,Homo sapiens,98.7,2023-12-06,Canada,EPI_ISL_18645693
ON_683302,JN.1.4,Homo sapiens,99.5,2023-12-06,Canada,EPI_ISL_18643249
ON_684287,JN.1.2,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18696727
BC_683659,JN.1,Homo sapiens,99.0,2023-12-06,Canada,EPI_ISL_18718653
ON_683296,JN.1.4,Homo sapiens,98.2,2023-12-06,Canada,EPI_ISL_18646022
ON_683196,JN.1,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18645922
ON_683257,JN.1.4,Homo sapiens,98.9,2023-12-06,Canada,EPI_ISL_18645983
ON_684297,JN.1.22,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18696737
ON_683185,JN.1,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18645911
ON_683358,JN.1,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18643303
AB_681942,JN.1,Homo sapiens,99.3,2023-12-06,Canada,EPI_ISL_18677887
ON_683181,JN.1,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18645907
ON_684519,JN.1.1,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18696959
ON_683224,JN.1,Homo sapiens,99.1,2023-12-06,Canada,EPI_ISL_18645950
BC_683669,JN.1.2,Homo sapiens,99.3,2023-12-06,Canada,EPI_ISL_18718662
BC_683660,JN.1.8.1,Homo sapiens,99.0,2023-12-06,Canada,EPI_ISL_18718654
ON_683189,JN.1,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18645915
ON_683216,JN.1.52,Homo sapiens,99.2,2023-12-06,Canada,EPI_ISL_18645942
ON_683236,JN.1.1,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18645962
BC_683662,JN.1.39,Homo sapiens,99.0,2023-12-06,Canada,EPI_ISL_18718656
ON_683071,JN.1.52,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18645797
AB_681664,JN.1,Homo sapiens,99.3,2023-12-06,Canada,EPI_ISL_18677635
BC_683587,JN.1.22,Homo sapiens,99.3,2023-12-06,Canada,EPI_ISL_18718592
ON_683459,JN.1,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18643377
ON_683406,JN.1,Homo sapiens,99.2,2023-12-06,Canada,EPI_ISL_18643345
ON_683397,JN.1,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18643456
ON_683200,JN.1,Homo sapiens,99.2,2023-12-06,Canada,EPI_ISL_18645926
ON_683295,JN.1.9,Homo sapiens,94.6,2023-12-06,Canada,EPI_ISL_18646021
SK_684016,JN.1.1,Homo sapiens,99.28,2023-12-06,Canada,EPI_ISL_19168912
NB_682082,JN.1.20,Homo sapiens,99.3,2023-12-06,Canada,EPI_ISL_18663535
ON_682966,JN.1,Homo sapiens,99.3,2023-12-06,Canada,EPI_ISL_18645691
AB_681713,JN.1,Homo sapiens,99.3,2023-12-06,Canada,EPI_ISL_18677678
ON_684273,JN.1.2,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18696713
ON_683013,JN.1,Homo sapiens,99.4,2023-12-06,Canada,EPI_ISL_18645738
AB_681678,JN.1,Homo sapiens,99.3,2023-12-06,Canada,EPI_ISL_18677648
ON_683355,JN.1.31,Homo sapiens,99.5,2023-12-06,Canada,EPI_ISL_18643300
AB_681715,JN.1,Homo sapiens,99.3,2023-12-06,Canada,EPI_ISL_18677680
AB_681832,JN.1,Homo sapiens,99.3,2023-12-06,Canada,EPI_ISL_18677790
AB_681656,JN.1,Homo sapiens,99.3,2023-12-06,Canada,EPI_ISL_18677628
ON_683186,JN.1,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18645912
AB_681945,JN.1,Homo sapiens,98.0,2023-12-06,Canada,EPI_ISL_18677889
ON_683466,JN.1,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18643383
ON_683018,JN.1.4,Homo sapiens,98.8,2023-12-06,Canada,EPI_ISL_18645743
ON_684304,JN.1.39,Homo sapiens,99.5,2023-12-06,Canada,EPI_ISL_18696744
ON_683093,JN.1.1,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18645819
ON_682967,JN.1.31,Homo sapiens,99.5,2023-12-06,Canada,EPI_ISL_18645692
ON_683275,JN.1.2,Homo sapiens,99.6,2023-12-06,Canada,EPI_ISL_18646001
AB_681672,JN.1,Homo sapiens,99.3,2023-12-06,Canada,EPI_ISL_18677642
BC_683629,JN.1.1,Homo sapiens,99.0,2023-12-07,Canada,EPI_ISL_18718626
ON_683254,JN.1,Homo sapiens,98.6,2023-12-07,Canada,EPI_ISL_18645980
ON_684310,JN.1.39,Homo sapiens,98.5,2023-12-07,Canada,EPI_ISL_18696750
ON_683009,JN.1,Homo sapiens,98.9,2023-12-07,Canada,EPI_ISL_18645734
ON_684294,JN.1.1,Homo sapiens,99.6,2023-12-07,Canada,EPI_ISL_18696734
AB_681763,JN.1,Homo sapiens,99.0,2023-12-07,Canada,EPI_ISL_18677724
ON_684561,JN.1.29,Homo sapiens,94.1,2023-12-07,Canada,EPI_ISL_18697001
AB_681695,JN.1.2,Homo sapiens,99.3,2023-12-07,Canada,EPI_ISL_18677662
ON_684410,JN.1,Homo sapiens,98.9,2023-12-07,Canada,EPI_ISL_18696850
ON_683351,JN.1.1,Homo sapiens,99.5,2023-12-07,Canada,EPI_ISL_18643296
AB_681808,JN.1.1,Homo sapiens,97.8,2023-12-07,Canada,EPI_ISL_18677767
SK_686284,JN.1.2,Homo sapiens,99.3,2023-12-07,Canada,EPI_ISL_18930107
NS_683564,JN.1.22,Homo sapiens,99.2,2023-12-07,Canada,EPI_ISL_18714491
ON_683446,JN.1,Homo sapiens,99.6,2023-12-07,Canada,EPI_ISL_18643368
ON_684288,JN.1.55,Homo sapiens,99.6,2023-12-07,Canada,EPI_ISL_18696728
ON_684443,JN.1.1,Homo sapiens,91.2,2023-12-07,Canada,EPI_ISL_18696883
ON_684483,JN.1.1,Homo sapiens,93.6,2023-12-07,Canada,EPI_ISL_18696923
ON_684394,JN.1.52,Homo sapiens,99.2,2023-12-07,Canada,EPI_ISL_18696834
ON_683502,JN.1.2,Homo sapiens,99.6,2023-12-07,Canada,EPI_ISL_18643412
ON_683002,JN.1.1,Homo sapiens,99.5,2023-12-07,Canada,EPI_ISL_18645727
ON_683361,JN.1.52,Homo sapiens,99.6,2023-12-07,Canada,EPI_ISL_18643306
ON_683328,JN.1.2,Homo sapiens,99.6,2023-12-07,Canada,EPI_ISL_18643446
AB_681782,JN.1.1,Homo sapiens,99.2,2023-12-07,Canada,EPI_ISL_18677742
AB_681706,JN.1,Homo sapiens,99.3,2023-12-07,Canada,EPI_ISL_18677672
NS_683566,JN.1,Homo sapiens,99.1,2023-12-07,Canada,EPI_ISL_18714493
ON_683401,JN.1,Homo sapiens,98.3,2023-12-07,Canada,EPI_ISL_18643340
ON_684305,JN.1.4,Homo sapiens,99.6,2023-12-07,Canada,EPI_ISL_18696745
AB_681954,JN.1,Homo sapiens,96.0,2023-12-07,Canada,EPI_ISL_18677897
ON_683003,JN.1.1,Homo sapiens,99.0,2023-12-07,Canada,EPI_ISL_18645728
ON_684274,JN.1.2,Homo sapiens,99.5,2023-12-07,Canada,EPI_ISL_18696714
ON_683243,JN.1.52,Homo sapiens,99.6,2023-12-07,Canada,EPI_ISL_18645969
AB_681881,JN.1,Homo sapiens,99.3,2023-12-07,Canada,EPI_ISL_18677832
ON_683386,JN.1,Homo sapiens,98.5,2023-12-07,Canada,EPI_ISL_18643329
AB_681774,JN.1,Homo sapiens,99.3,2023-12-07,Canada,EPI_ISL_18677734
ON_683372,JN.1.52,Homo sapiens,99.6,2023-12-07,Canada,EPI_ISL_18643318
ON_684400,JN.1.10,Homo sapiens,98.6,2023-12-07,Canada,EPI_ISL_18696840
ON_683370,JN.1.9,Homo sapiens,99.5,2023-12-07,Canada,EPI_ISL_18643314
ON_683393,JN.1.4,Homo sapiens,99.5,2023-12-07,Canada,EPI_ISL_18643334
ON_684491,JN.1.4,Homo sapiens,99.6,2023-12-07,Canada,EPI_ISL_18696931
ON_683004,JN.1.1,Homo sapiens,99.6,2023-12-07,Canada,EPI_ISL_18645729
ON_683345,JN.1.1,Homo sapiens,99.6,2023-12-07,Canada,EPI_ISL_18643290
ON_684438,JN.1.1,Homo sapiens,97.7,2023-12-07,Canada,EPI_ISL_18696878
AB_681768,JN.1,Homo sapiens,99.3,2023-12-07,Canada,EPI_ISL_18677728
ON_682998,JN.1.1,Homo sapiens,99.5,2023-12-07,Canada,EPI_ISL_18645723
ON_684564,JN.1.1,Homo sapiens,96.9,2023-12-07,Canada,EPI_ISL_18697004
ON_683319,JN.1.52,Homo sapiens,99.6,2023-12-07,Canada,EPI_ISL_18643267
ON_684307,JN.1.1,Homo sapiens,99.6,2023-12-07,Canada,EPI_ISL_18696747
ON_684293,JN.1,Homo sapiens,95.8,2023-12-07,Canada,EPI_ISL_18696733
BC_683725,JN.1,Homo sapiens,99.0,2023-12-07,Canada,EPI_ISL_18718707
ON_683006,JN.1.1,Homo sapiens,99.3,2023-12-07,Canada,EPI_ISL_18645731
ON_683340,JN.1,Homo sapiens,99.6,2023-12-07,Canada,EPI_ISL_18643285
AB_681716,JN.1,Homo sapiens,99.3,2023-12-07,Canada,EPI_ISL_18677681
ON_683318,JN.1,Homo sapiens,93.6,2023-12-07,Canada,EPI_ISL_18643266
AB_681947,JN.1,Homo sapiens,99.3,2023-12-07,Canada,EPI_ISL_18677890
AB_681781,JN.1.1,Homo sapiens,99.3,2023-12-07,Canada,EPI_ISL_18677741
ON_683436,JN.1.1,Homo sapiens,99.5,2023-12-08,Canada,EPI_ISL_18643360
ON_683458,JN.1.1,Homo sapiens,99.6,2023-12-08,Canada,EPI_ISL_18643376
ON_684460,JN.1,Homo sapiens,92.8,2023-12-08,Canada,EPI_ISL_18696900
AB_681958,JN.1.1,Homo sapiens,99.3,2023-12-08,Canada,EPI_ISL_18677900
ON_683497,JN.1.52,Homo sapiens,99.6,2023-12-08,Canada,EPI_ISL_18643407
ON_683504,JN.1.31,Homo sapiens,99.6,2023-12-08,Canada,EPI_ISL_18643414
ON_683439,JN.1.19,Homo sapiens,99.6,2023-12-08,Canada,EPI_ISL_18643473
ON_683531,JN.1.1,Homo sapiens,99.6,2023-12-08,Canada,EPI_ISL_18643434
ON_684801,JN.1.9,Homo sapiens,99.6,2023-12-08,Canada,EPI_ISL_18697241
ON_683444,JN.1,Homo sapiens,95.3,2023-12-08,Canada,EPI_ISL_18643366
ON_684799,JN.1,Homo sapiens,99.6,2023-12-08,Canada,EPI_ISL_18697239
MB_686280,JN.1,Homo sapiens,99.27,2023-12-08,Canada,EPI_ISL_18947043
ON_684435,JN.1.1,Homo sapiens,99.5,2023-12-08,Canada,EPI_ISL_18696875
AB_681746,JN.1.4,Homo sapiens,96.5,2023-12-08,Canada,EPI_ISL_18677707
ON_684402,JN.1,Homo sapiens,99.1,2023-12-08,Canada,EPI_ISL_18696842
ON_683460,JN.1.2,Homo sapiens,99.6,2023-12-08,Canada,EPI_ISL_18643378
ON_684461,JN.1,Homo sapiens,98.9,2023-12-08,Canada,EPI_ISL_18696901
AB_681747,JN.1,Homo sapiens,99.3,2023-12-08,Canada,EPI_ISL_18677708
